Brand,Age,kmDriven,Transmission,Owner,FuelType,AskPrice,AskPrice_Log
Honda,23,98000.0,Manual,second,petrol,195000,12.180759965737863
Volkswagen,14,77246.0,Manual,first,diesel,184999,12.128111104060462
Maruti Suzuki,7,83500.0,Manual,second,diesel,565000,13.244582780038517
Maruti Suzuki,5,45000.0,Automatic,first,petrol,685000,13.437175577097312
BMW,10,83000.0,Automatic,first,diesel,1350000,14.115615891155079
Toyota,10,168000.0,Manual,second,diesel,1025000,13.840204146163925
BMW,5,25000.0,Automatic,second,diesel,5950000,15.598901945589025
Maruti Suzuki,4,33759.0,Manual,second,petrol,622000,13.340696979437066
Ford,7,69713.0,Manual,second,petrol,649000,13.38318953651709
Maruti Suzuki,6,70000.0,Automatic,first,petrol,395000,12.886643575525625
Kia,3,25000.0,Automatic,first,diesel,2900000,14.88022163978423
Maruti Suzuki,12,72700.0,Manual,second,petrol,240000,12.388398368982115
Toyota,17,121931.0,Automatic,second,petrol,201350,12.212804932743552
Mercedes-Benz,3,32000.0,Automatic,second,petrol,11800000,16.283610174181653
Hyundai,6,130000.0,Manual,second,diesel,330000,12.706850963741102
Kia,4,68000.0,Manual,first,diesel,1045000,13.85952840031839
Maruti Suzuki,8,65000.0,Manual,second,diesel,785000,13.573440270649085
Maruti Suzuki,7,59000.0,Automatic,second,petrol,555000,13.22672519452875
BMW,9,61000.0,Automatic,second,diesel,1500000,14.220976332738882
Ford,5,77000.0,Automatic,second,diesel,2399000,14.690562958662095
Toyota,7,107000.0,Automatic,first,diesel,1325000,14.096923772119156
Audi,9,42000.0,Automatic,second,diesel,1050000,13.864301674514206
Renault,5,48073.0,Automatic,second,petrol,355000,12.779875885354993
MG,5,32618.0,Automatic,first,petrol,1250000,14.038654909278163
Maruti Suzuki,12,70000.0,Manual,second,diesel,315000,12.660331092405906
Maruti Suzuki,10,51000.0,Automatic,second,petrol,345000,12.75130259456002
Maruti Suzuki,6,137000.0,Manual,first,diesel,845000,13.647093089770562
Toyota,1,1996.0,Automatic,first,diesel,4195000,15.249404136262438
Toyota,7,90000.0,Manual,second,diesel,1950000,14.48334044336031
Toyota,13,84000.0,Manual,second,diesel,490000,13.102162710901053
Volvo,6,53000.0,Automatic,first,diesel,2950000,14.897316067298997
Hyundai,3,17000.0,Manual,first,petrol,685000,13.437175577097312
Maruti Suzuki,6,70000.0,Manual,second,petrol,749000,13.52649559761195
Hyundai,1,5000.0,Automatic,first,petrol,1600000,14.285514812209815
Hyundai,2,47110.0,Manual,second,diesel,1695000,14.343193888767015
Hyundai,5,35000.0,Manual,first,petrol,585000,13.279368835614243
Mercedes-Benz,5,101570.0,Automatic,first,diesel,4200000,15.250595321348806
Volkswagen,3,42000.0,Manual,second,petrol,675000,13.42246945133505
Maruti Suzuki,6,30000.0,Manual,second,petrol,630000,13.353476685668044
Hyundai,8,82100.0,Manual,second,diesel,465000,13.049794835104816
Audi,12,90000.0,Automatic,second,diesel,899000,13.70903942580019
Toyota,13,193000.0,Manual,second,diesel,1125000,13.933294482509151
Mercedes-Benz,9,300000.0,Automatic,first,diesel,1750000,14.375126917328105
Hyundai,2,300000.0,Automatic,second,petrol,1690000,14.340239678615058
Maruti Suzuki,4,94856.0,Manual,first,petrol,690000,13.444448325847754
Skoda,1,12000.0,Automatic,first,petrol,1800000,14.403297778421795
Tata,14,300000.0,Manual,first,diesel,800000,13.592368256649284
Toyota,6,118000.0,Automatic,first,diesel,1795000,14.400516137007425
Mercedes-Benz,8,41000.0,Automatic,second,petrol,2000000,14.508658238524095
Honda,14,79000.0,Manual,second,petrol,290000,12.577639650232573
Honda,8,103001.0,Manual,second,diesel,555555,13.227724693061836
Hyundai,7,70000.0,Manual,second,petrol,765000,13.547632419997361
Renault,6,130000.0,Manual,first,diesel,690000,13.444448325847754
Maruti Suzuki,13,78000.0,Manual,second,petrol,225000,12.323860125621126
Toyota,7,115000.0,Automatic,second,diesel,2390000,14.686804342317648
Mahindra,7,160000.0,Manual,second,diesel,550000,13.217675375388819
Hyundai,7,27000.0,Manual,second,petrol,300000,12.611541086966115
MG,4,81600.0,Automatic,first,petrol,1021000,13.836294076578252
Hyundai,7,54000.0,Automatic,first,petrol,811000,13.606024566142413
Mahindra,6,76000.0,Manual,first,diesel,1125000,13.933294482509151
Mercedes-Benz,10,86000.0,Automatic,first,diesel,3000000,14.914123179965662
Hyundai,13,65000.0,Manual,second,petrol,115000,11.652696102959753
Mercedes-Benz,6,60000.0,Automatic,second,diesel,1450000,14.187074804051692
Kia,1,24000.0,Manual,first,petrol,1225000,14.018452218287162
Toyota,13,100231.0,Manual,second,diesel,429101,12.969449931886954
Maruti Suzuki,1,13000.0,Manual,second,petrol,610000,13.321215875492413
Hyundai,7,47000.0,Manual,first,petrol,519999,13.16158409055761
Hyundai,17,115031.0,Manual,second,petrol,140000,11.849404844423074
Maruti Suzuki,10,67000.0,Manual,first,petrol,280000,12.54254845357358
Hyundai,8,74500.0,Manual,first,diesel,425000,12.959846800844963
Honda,8,93000.0,Automatic,second,petrol,575000,13.26212705890841
Maruti Suzuki,9,59000.0,Manual,first,petrol,295000,12.59473402514672
Toyota,7,300000.0,Automatic,second,diesel,1725000,14.360738188157574
Hyundai,2,69000.0,Automatic,first,diesel,1250000,14.038654909278163
Hyundai,9,76000.0,Automatic,second,diesel,650000,13.384729180332174
Kia,4,34500.0,Automatic,first,petrol,935000,13.74830287778897
Ford,8,130000.0,Manual,second,diesel,400000,12.899222326086994
Mercedes-Benz,2,20000.0,Automatic,first,diesel,7500000,15.830413711839864
Mahindra,1,15905.0,Automatic,first,diesel,2350000,14.669926311652166
Toyota,3,21000.0,Manual,first,diesel,2125000,14.56928283092878
Mini,5,13000.0,Automatic,first,petrol,3950000,15.18922639004183
Maruti Suzuki,9,75000.0,Manual,first,diesel,435000,12.983103608918753
Volkswagen,12,80000.0,Manual,second,diesel,300000,12.611541086966115
Maruti Suzuki,8,50000.0,Manual,first,petrol,245000,12.409017571151187
Tata,2,40000.0,Automatic,second,petrol,680000,13.429849547739444
Maruti Suzuki,11,87000.0,Manual,first,diesel,385000,12.861001210669146
Toyota,9,155000.0,Manual,second,diesel,589000,13.286183160425152
Volkswagen,10,80000.0,Manual,second,diesel,425000,12.959846800844963
Maruti Suzuki,10,84000.0,Manual,second,petrol,265000,12.487488878546145
Volkswagen,3,18000.0,Automatic,first,petrol,850000,13.652992804936396
Maruti Suzuki,7,47000.0,Automatic,first,petrol,575000,13.26212705890841
Maruti Suzuki,13,82000.0,Manual,first,petrol,180000,12.100717685412471
Maruti Suzuki,9,35000.0,Automatic,first,petrol,425000,12.959846800844963
Renault,9,150000.0,Automatic,second,diesel,450000,13.017005083966255
Toyota,12,132000.0,Manual,first,diesel,1095000,13.90626583447433
Land Rover,7,130000.0,Automatic,second,petrol,2500000,14.731801689838349
Maruti Suzuki,4,59000.0,Automatic,first,petrol,980000,13.795308871054397
Tata,6,95000.0,Automatic,second,petrol,575000,13.26212705890841
Tata,8,115000.0,Manual,second,diesel,110000,11.608244735642321
Mahindra,2,110000.0,Manual,first,diesel,1675000,14.331324320256051
Toyota,9,68000.0,Automatic,second,petrol,1185000,13.98525417643287
Skoda,3,74000.0,Automatic,first,petrol,1199000,13.99699926803766
Maruti Suzuki,12,88000.0,Manual,first,petrol,385000,12.861001210669146
Hyundai,10,47000.0,Automatic,second,petrol,455000,13.02805489573287
Mahindra,9,16.0,Manual,first,diesel,390000,12.873904582205107
Honda,12,68000.0,Manual,first,petrol,235000,12.367345048436391
Honda,17,115000.0,Manual,second,petrol,265000,12.487488878546145
Hyundai,13,50000.0,Manual,second,petrol,150000,11.918397239722838
Honda,7,98000.0,Manual,first,diesel,600000,13.304686600863562
Land Rover,5,62000.0,Automatic,first,diesel,3099000,14.94659035945457
Tata,5,67000.0,Manual,second,diesel,899000,13.70903942580019
Tata,9,69000.0,Manual,second,petrol,340000,12.73670383776449
Maruti Suzuki,3,49000.0,Manual,first,petrol,540000,13.199326270390594
Maruti Suzuki,11,162000.0,Manual,second,diesel,390000,12.873904582205107
Toyota,6,86000.0,Manual,first,diesel,2499000,14.731401609977073
Hyundai,1,35000.0,Automatic,first,diesel,2025000,14.521080752349816
Maruti Suzuki,10,38000.0,Manual,first,petrol,370000,12.821260987319457
Hyundai,4,105000.0,Manual,first,diesel,1050000,13.864301674514206
Toyota,2,25500.0,Automatic,first,diesel,4199999,15.250595083253597
Maruti Suzuki,9,300000.0,Manual,first,petrol,450000,13.017005083966255
Volkswagen,8,78000.0,Automatic,first,petrol,555000,13.22672519452875
Toyota,18,191000.0,Manual,first,diesel,295000,12.59473402514672
Hyundai,6,66000.0,Automatic,second,petrol,1075000,13.887832149776026
Toyota,8,75000.0,Manual,first,diesel,1480000,14.207553321415745
Maruti Suzuki,6,85600.0,Manual,first,diesel,750000,13.527829818844937
Maruti Suzuki,12,155000.0,Manual,second,diesel,650000,13.384729180332174
Hyundai,14,46000.0,Manual,second,petrol,78000,11.264476926102367
Maruti Suzuki,9,68000.0,Manual,first,petrol,330000,12.706850963741102
Ford,6,73000.0,Automatic,first,petrol,590000,13.28787951079572
Honda,13,74000.0,Automatic,second,petrol,375000,12.834683971615659
Maruti Suzuki,6,65000.0,Automatic,second,petrol,590000,13.28787951079572
Audi,3,50000.0,Automatic,first,petrol,3250000,14.99416586199818
Honda,10,61000.0,Automatic,first,petrol,685000,13.437175577097312
Maruti Suzuki,19,98000.0,Manual,second,petrol,160000,11.982935344196433
Mahindra,7,76000.0,Automatic,second,diesel,760000,13.541075028051122
Mahindra,8,89100.0,Manual,second,diesel,760000,13.541075028051122
Volkswagen,6,73961.0,Automatic,second,petrol,935000,13.74830287778897
Ford,5,60000.0,Automatic,first,diesel,2740000,14.82346884332769
Mahindra,6,46850.0,Manual,second,diesel,880000,13.68767832281738
Mahindra,1,280000.0,Automatic,first,diesel,1785000,14.394929533419809
Mahindra,11,99000.0,Manual,second,diesel,470000,13.060490101343552
Maruti Suzuki,15,56328.0,Manual,first,petrol,265000,12.487488878546145
Mercedes-Benz,11,78000.0,Automatic,second,petrol,790000,13.579789490265188
Toyota,2,31000.0,Automatic,first,diesel,2700000,14.80876270134486
Skoda,4,57000.0,Automatic,first,diesel,3045000,14.929011787533305
Ford,7,70000.0,Automatic,second,diesel,2650000,14.790070575320824
Hyundai,10,41453.0,Manual,second,petrol,220000,12.301387370778713
Tata,3,33000.0,Manual,first,petrol,545000,13.208542908506082
Maruti Suzuki,6,37000.0,Automatic,second,petrol,460000,13.038983942375959
Volkswagen,9,65000.0,Manual,first,petrol,375000,12.834683971615659
Hyundai,2,36000.0,Automatic,first,petrol,690000,13.444448325847754
Toyota,8,130000.0,Automatic,second,petrol,1399999,14.151982794585487
Maruti Suzuki,11,100000.0,Manual,second,petrol,160000,11.982935344196433
Hyundai,5,48000.0,Manual,first,diesel,1065000,13.878486296092358
BMW,8,63000.0,Automatic,second,diesel,2290000,14.64406281221155
Skoda,7,70000.0,Automatic,first,diesel,750000,13.527829818844937
Hyundai,11,59000.0,Manual,second,petrol,425000,12.959846800844963
Mahindra,9,72000.0,Automatic,second,diesel,390000,12.873904582205107
Mercedes-Benz,12,74000.0,Automatic,second,diesel,1295000,14.07402202531625
Honda,6,78127.0,Manual,first,diesel,785000,13.573440270649085
Maruti Suzuki,4,26000.0,Manual,first,petrol,775000,13.560619598657233
Renault,7,65663.0,Automatic,second,petrol,325000,12.691583538230217
BMW,6,24000.0,Automatic,first,petrol,4199000,15.250357197818243
Toyota,9,160000.0,Automatic,second,diesel,1250000,14.038654909278163
Volkswagen,4,300000.0,Manual,second,petrol,725000,13.493928313146206
Maruti Suzuki,6,31000.0,Manual,first,petrol,549000,13.215855541983634
Hyundai,5,55000.0,Automatic,first,diesel,1299999,14.077874822431765
Hyundai,2,37000.0,Automatic,first,diesel,1820000,14.414347608503377
Maruti Suzuki,8,300000.0,Manual,first,petrol,275000,12.524530013005734
Mercedes-Benz,9,75000.0,Automatic,first,diesel,2450000,14.711598990684092
Honda,10,32001.0,Manual,second,petrol,295000,12.59473402514672
Maruti Suzuki,0,22000.0,Manual,first,petrol,260000,12.468440756144114
Hyundai,14,45000.0,Manual,second,petrol,150000,11.918397239722838
Toyota,3,60000.0,Automatic,first,petrol,3200000,14.978661680269907
Kia,3,41000.0,Automatic,first,petrol,1390000,14.144815024531075
Volkswagen,9,51000.0,Manual,second,petrol,499999,13.122363377404328
Toyota,3,28000.0,Automatic,second,petrol,750000,13.527829818844937
BMW,5,38000.0,Automatic,first,diesel,4450000,15.308414878861498
Skoda,5,64800.0,Automatic,first,diesel,799000,13.591117476312084
Jeep,2,17300.0,Automatic,first,petrol,1995000,14.506155109559108
Volkswagen,11,38000.0,Manual,first,petrol,292000,12.584512505902088
Honda,13,95000.0,Automatic,second,petrol,280000,12.54254845357358
Honda,12,72000.0,Manual,first,petrol,165000,12.013706813470414
Maruti Suzuki,8,135000.0,Manual,second,diesel,875000,13.681980308196241
Toyota,12,135000.0,Manual,second,diesel,395000,12.886643575525625
Volkswagen,5,160000.0,Manual,first,diesel,695000,13.451668563394815
Tata,2,14000.0,Automatic,first,diesel,1875000,14.444119750719839
Kia,4,50200.0,Automatic,first,petrol,1300000,14.077875591662238
Maruti Suzuki,10,47000.0,Manual,first,petrol,255000,12.449022745701502
Honda,13,59600.0,Manual,second,petrol,210000,12.25486757159303
Maruti Suzuki,14,8000.0,Automatic,second,petrol,185000,12.128116509451258
Maruti Suzuki,1,30000.0,Manual,first,petrol,675000,13.42246945133505
Renault,7,54000.0,Automatic,second,petrol,365000,12.807655372286902
Maruti Suzuki,26,80000.0,Manual,second,petrol,75000,11.225256725762893
Chevrolet,13,100000.0,Automatic,second,diesel,295000,12.59473402514672
Mahindra,7,48000.0,Automatic,first,diesel,1199999,13.997832114758229
Hyundai,11,150000.0,Automatic,second,diesel,410000,12.923914877701906
Hyundai,8,63000.0,Manual,second,petrol,650000,13.384729180332174
Toyota,10,300000.0,Automatic,second,diesel,1445000,14.183620571569953
Honda,6,300000.0,Manual,first,petrol,695000,13.451668563394815
Honda,3,56001.0,Automatic,first,diesel,1125000,13.933294482509151
Toyota,7,25000.0,Manual,first,diesel,1565000,14.263397020933823
Honda,9,68001.0,Manual,second,petrol,444000,13.003582093664077
Renault,11,72000.0,Manual,first,diesel,345000,12.75130259456002
BMW,5,50000.0,Automatic,second,diesel,2675000,14.79946031214395
Honda,8,95000.0,Manual,second,petrol,535000,13.190023895035274
Maruti Suzuki,3,39000.0,Automatic,first,petrol,465000,13.049794835104816
Mahindra,11,60000.0,Manual,second,diesel,695000,13.451668563394815
Hyundai,7,72315.0,Automatic,second,diesel,1035000,13.849912950864715
Hyundai,10,82000.0,Automatic,second,petrol,390000,12.873904582205107
Maruti Suzuki,5,85000.0,Automatic,second,petrol,280000,12.54254845357358
Hyundai,8,64000.0,Automatic,first,diesel,1245000,14.034646891093473
Hyundai,8,68500.0,Manual,second,petrol,440000,12.994532278619134
Maruti Suzuki,2,300000.0,Automatic,first,petrol,780000,13.567050480716235
