Brand,Age,kmDriven,Transmission,Owner,FuelType
Land Rover,6,99000.0,Automatic,first,diesel
Mercedes-Benz,13,64321.0,Automatic,second,diesel
Mahindra,7,129124.0,Manual,first,diesel
Ford,5,51000.0,Manual,first,diesel
Volkswagen,5,45000.0,Automatic,second,diesel
Hyundai,6,81000.0,Automatic,second,hybrid/cng
Hyundai,7,87000.0,Automatic,second,diesel
Mahindra,8,82500.0,Manual,second,diesel
Hyundai,8,37000.0,Manual,second,petrol
Mercedes-Benz,12,45000.0,Automatic,second,petrol
Maruti Suzuki,9,66000.0,Automatic,second,petrol
Hyundai,10,67000.0,Manual,second,hybrid
Maruti Suzuki,10,36000.0,Automatic,first,hybrid/cng
Tata,11,100000.0,Automatic,second,diesel
Toyota,5,81000.0,Automatic,first,diesel
Hyundai,13,82000.0,Manual,second,hybrid/cng
Ford,9,55000.0,Automatic,second,petrol
Hyundai,3,89524.0,Manual,second,hybrid
Maruti Suzuki,5,78000.0,Manual,first,hybrid/cng
Maruti Suzuki,11,95000.0,Manual,first,petrol
Toyota,5,34000.0,Automatic,second,diesel
Toyota,12,126000.0,Manual,second,diesel
Hyundai,17,92000.0,Manual,second,petrol
Honda,3,38000.0,Automatic,first,petrol
Mercedes-Benz,5,59000.0,Automatic,first,petrol
Maruti Suzuki,8,89700.0,Manual,second,petrol
Honda,2,21000.0,Automatic,first,petrol
Honda,12,300000.0,Manual,second,petrol
Toyota,10,89000.0,Automatic,second,hybrid/cng
Kia,2,27300.0,Automatic,second,petrol
Volkswagen,9,53000.0,Manual,second,diesel
Volkswagen,7,84000.0,Automatic,second,diesel
Maruti Suzuki,11,82000.0,Manual,second,hybrid
Maruti Suzuki,7,57000.0,Automatic,second,hybrid
Mahindra,9,83000.0,Manual,first,diesel
Honda,10,61000.0,Manual,second,petrol
Renault,9,75000.0,Manual,second,diesel
Maruti Suzuki,6,110000.0,Manual,second,diesel
Land Rover,7,120000.0,Automatic,second,diesel
BMW,4,175000.0,Automatic,first,petrol
Maruti Suzuki,6,24000.0,Manual,first,petrol
Honda,17,10000.0,Automatic,second,hybrid
Ford,6,119000.0,Automatic,first,diesel
Audi,7,76000.0,Automatic,second,diesel
Maruti Suzuki,2,38000.0,Manual,first,hybrid
Hyundai,11,118000.0,Manual,second,diesel
Maruti Suzuki,12,91000.0,Manual,second,petrol
Maruti Suzuki,13,45000.0,Manual,second,petrol
Maruti Suzuki,8,114000.0,Manual,second,hybrid/cng
Mitsubishi,13,85000.0,Manual,second,diesel
Hyundai,3,55000.0,Automatic,first,petrol
Hyundai,6,78000.0,Manual,second,diesel
Maruti Suzuki,14,250000.0,Automatic,second,hybrid
Audi,10,99892.0,Automatic,second,diesel
Toyota,13,125000.0,Manual,second,diesel
Audi,12,77000.0,Automatic,first,petrol
Chevrolet,13,78000.0,Manual,second,hybrid
Hyundai,10,62000.0,Manual,first,petrol
Honda,12,80000.0,Manual,second,petrol
Hyundai,8,65000.0,Manual,first,petrol
Hyundai,2,280000.0,Manual,first,hybrid/cng
Mahindra,10,97122.0,Manual,second,diesel
Maruti Suzuki,0,2263.0,Automatic,first,hybrid
Skoda,1,21000.0,Manual,first,petrol
Hyundai,9,118000.0,Manual,second,diesel
Mahindra,6,65000.0,Manual,first,diesel
Kia,2,39000.0,Automatic,first,diesel
BMW,7,300000.0,Automatic,second,diesel
Mercedes-Benz,7,56000.0,Automatic,first,diesel
Mini,6,12923.0,Automatic,first,petrol
Tata,1,45019.0,Manual,first,hybrid
Maruti Suzuki,13,85000.0,Automatic,second,hybrid/cng
Maruti Suzuki,1,35000.0,Automatic,first,hybrid
Jeep,5,52000.0,Automatic,second,petrol
Hyundai,8,56000.0,Manual,second,petrol
Skoda,7,130000.0,Manual,second,diesel
Maruti Suzuki,10,70000.0,Manual,second,hybrid/cng
Tata,2,31000.0,Manual,first,hybrid
Hyundai,6,115000.0,Manual,second,diesel
Maruti Suzuki,4,85000.0,Manual,first,hybrid
Honda,11,75000.0,Automatic,second,hybrid/cng
Tata,2,13000.0,Manual,first,petrol
Skoda,3,62000.0,Automatic,second,petrol
Chevrolet,14,60000.0,Manual,second,petrol
Mercedes-Benz,11,80500.0,Automatic,second,diesel
Chevrolet,14,100000.0,Manual,first,hybrid/cng
Maruti Suzuki,6,65000.0,Automatic,first,petrol
Mercedes-Benz,10,300000.0,Automatic,second,diesel
Mahindra,8,85800.0,Automatic,second,diesel
Hyundai,13,91720.0,Automatic,second,hybrid
Tata,13,29.0,Automatic,second,petrol
Jaguar,9,92000.0,Automatic,second,diesel
Maruti Suzuki,11,90000.0,Automatic,second,hybrid/cng
Hyundai,8,37000.0,Manual,second,petrol
BMW,3,65000.0,Automatic,second,petrol
Maruti Suzuki,9,34000.0,Automatic,second,hybrid/cng
Maruti Suzuki,17,118000.0,Manual,second,petrol
Hyundai,5,31000.0,Manual,first,petrol
Maruti Suzuki,6,65630.0,Automatic,first,hybrid/cng
Toyota,10,144000.0,Manual,first,diesel
Volvo,8,100000.0,Automatic,second,diesel
Hyundai,6,82500.0,Automatic,first,diesel
Mahindra,14,190000.0,Manual,second,diesel
Maruti Suzuki,2,80000.0,Automatic,first,hybrid/cng
Mahindra,3,66000.0,Manual,second,diesel
Honda,14,96000.0,Automatic,second,hybrid
Tata,7,75000.0,Manual,first,diesel
Hyundai,9,89523.0,Manual,second,petrol
Hyundai,3,35000.0,Automatic,first,diesel
Maruti Suzuki,4,82000.0,Automatic,first,hybrid/cng
Maruti Suzuki,14,78000.0,Manual,second,petrol
Maruti Suzuki,15,96000.0,Manual,second,petrol
BMW,8,60000.0,Automatic,second,diesel
Maruti Suzuki,10,105000.0,Manual,second,petrol
Kia,4,59000.0,Manual,first,petrol
Nissan,10,32000.0,Manual,first,petrol
Nissan,2,17000.0,Manual,first,petrol
Jeep,7,65000.0,Manual,second,diesel
Maruti Suzuki,9,70000.0,Manual,first,diesel
Mahindra,10,86000.0,Manual,first,diesel
Toyota,8,140000.0,Automatic,second,diesel
Maruti Suzuki,11,35000.0,Manual,second,petrol
Maruti Suzuki,5,83000.0,Automatic,first,diesel
Maruti Suzuki,13,73500.0,Manual,first,hybrid/cng
Renault,2,81525.0,Manual,first,petrol
Maruti Suzuki,1,39000.0,Manual,first,hybrid
Kia,3,58000.0,Automatic,first,petrol
Maruti Suzuki,8,44000.0,Manual,second,petrol
Maruti Suzuki,8,78000.0,Manual,second,petrol
Audi,8,78522.0,Automatic,first,diesel
Ford,6,64999.0,Automatic,first,diesel
Maruti Suzuki,7,300000.0,Manual,second,diesel
Tata,9,121580.0,Manual,second,diesel
Maruti Suzuki,7,100000.0,Manual,second,petrol
Honda,4,55000.0,Manual,first,petrol
Ford,7,95000.0,Automatic,first,diesel
Maruti Suzuki,6,66000.0,Automatic,second,hybrid
Mahindra,7,61000.0,Manual,first,diesel
Maruti Suzuki,5,84303.0,Automatic,second,petrol
Maruti Suzuki,11,102000.0,Manual,second,petrol
Maruti Suzuki,1,60000.0,Manual,first,hybrid
Maruti Suzuki,5,68000.0,Manual,second,hybrid/cng
Toyota,14,80000.0,Manual,second,hybrid/cng
Maruti Suzuki,16,120000.0,Manual,second,diesel
Mercedes-Benz,1,15000.0,Automatic,first,diesel
Hyundai,15,108000.0,Manual,second,petrol
Maruti Suzuki,8,55000.0,Automatic,second,hybrid
Volkswagen,7,78000.0,Automatic,second,petrol
Maruti Suzuki,12,137000.0,Automatic,second,hybrid/cng
Honda,10,92000.0,Manual,first,diesel
Ford,8,75000.0,Automatic,second,diesel
Maruti Suzuki,7,300000.0,Manual,second,petrol
Toyota,2,30000.0,Automatic,first,petrol
BMW,7,38000.0,Automatic,first,diesel
Maruti Suzuki,4,82000.0,Manual,first,petrol
Honda,8,56171.0,Manual,second,petrol
Maruti Suzuki,6,49000.0,Manual,second,petrol
Hyundai,5,58000.0,Automatic,second,hybrid
Maruti Suzuki,2,85000.0,Automatic,second,hybrid/cng
Mahindra,4,79000.0,Manual,second,diesel
Hyundai,10,78980.0,Manual,second,diesel
Mercedes-Benz,6,55000.0,Automatic,first,petrol
Maruti Suzuki,7,60000.0,Automatic,second,petrol
Renault,6,300000.0,Manual,first,petrol
Honda,14,75000.0,Automatic,second,hybrid/cng
Maruti Suzuki,9,204600.0,Automatic,second,petrol
Hyundai,1,44000.0,Automatic,first,petrol
Toyota,7,69000.0,Automatic,second,diesel
Maruti Suzuki,6,105000.0,Automatic,first,diesel
Maruti Suzuki,3,73300.0,Manual,first,hybrid/cng
Maruti Suzuki,5,65000.0,Manual,first,hybrid
Honda,10,65000.0,Manual,second,petrol
Hyundai,11,72000.0,Manual,second,petrol
Honda,13,82000.0,Automatic,second,petrol
Hyundai,3,30941.0,Manual,second,hybrid/cng
Toyota,10,90000.0,Automatic,second,hybrid
Maruti Suzuki,13,112000.0,Automatic,second,hybrid/cng
Hyundai,8,74000.0,Automatic,second,hybrid/cng
Maruti Suzuki,14,29000.0,Manual,first,petrol
Maruti Suzuki,10,32117.0,Automatic,first,petrol
BMW,3,20000.0,Automatic,first,petrol
Ford,6,54760.0,Automatic,first,petrol
Nissan,3,62000.0,Manual,first,petrol
Honda,13,300000.0,Automatic,second,hybrid/cng
Renault,12,88300.0,Manual,first,diesel
Renault,8,75000.0,Automatic,second,diesel
Maruti Suzuki,8,14123.0,Automatic,second,hybrid/cng
Toyota,5,28000.0,Manual,second,diesel
Honda,4,20758.0,Automatic,first,petrol
Hyundai,11,61000.0,Manual,first,petrol
Hyundai,16,175000.0,Manual,second,diesel
Maruti Suzuki,6,80000.0,Automatic,first,hybrid/cng
Hyundai,3,57555.0,Manual,first,petrol
Maruti Suzuki,6,28200.0,Manual,first,petrol
Skoda,11,107316.0,Manual,first,diesel
Toyota,12,125000.0,Manual,second,diesel
Maruti Suzuki,4,19000.0,Automatic,second,petrol
Toyota,11,110000.0,Automatic,second,diesel
Maruti Suzuki,2,60000.0,Manual,second,petrol
Hyundai,6,48.0,Manual,second,hybrid
Maruti Suzuki,2,14000.0,Automatic,first,hybrid
Hyundai,8,50000.0,Automatic,first,diesel
Mercedes-Benz,10,94500.0,Automatic,second,diesel
Hyundai,4,40000.0,Manual,first,petrol
Maruti Suzuki,7,75000.0,Automatic,second,hybrid
Renault,8,77000.0,Automatic,second,hybrid
Volkswagen,10,82864.0,Manual,second,diesel
Tata,2,53000.0,Automatic,first,diesel
